Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,1,Future Sight,Duel Decks: Jace vs. Vraska,33,Near Mint,English,,,,,,,,0
1,0,Future Sight,Onslaught,84,Near Mint,English,,,,,,,,0
1,0,Gallows at Willow Hill,Avacyn Restored,215,Near Mint,English,,,,,,,,
1,0,Gargoyle Castle,Magic 2010,225,Near Mint,English,,,,,,,,
1,0,Garruk Wildspeaker,Lorwyn,213,Near Mint,English,,,,,,,,
1,0,Garruk Wildspeaker,Magic 2011,175,Near Mint,English,,,,,,,,
2,0,Garruk Wildspeaker,Magic 2011,175,Near Mint,Chinese,,,,,,,,
1,0,Garruk's Horde,Magic 2012,176,Near Mint,English,,,,,,,,
1,0,"Garruk, Primal Hunter",Magic 2013,174,Near Mint,English,,,,,,,,
1,0,"Garza Zol, Plague Queen",Coldsnap,129,Near Mint,English,,,,,,,,
1,0,Gelatinous Genesis,Rise of the Eldrazi,183,Near Mint,English,,,,,,,,
3,0,Gemstone Mine,"Time Spiral ""Timeshifted""",119,,,,,,,,,,
2,0,Geralf's Messenger,Dark Ascension,63,Near Mint,English,,,,,,,,
2,0,Geralf's Mindcrusher,Dark Ascension,37,Near Mint,English,,,,,,,,
2,0,Ghitu Encampment,Premium Deck Series: Fire and Lightning,29,Near Mint,English,foil,,,,,,,
3,0,Ghost Quarter,Dissension,173,Near Mint,English,,,,,,,,
1,0,Ghost Quarter,Innistrad,240,Near Mint,English,foil,,,,,,,
5,0,Ghost Quarter,Innistrad,240,Near Mint,English,,,,,,,,
2,0,Ghost-Lit Stalker,Duel Decks: Garruk vs. Liliana,34,Near Mint,English,,,,,,,,
1,0,Ghoultree,Dark Ascension,115,Near Mint,English,,,,,,,,
1,0,Giant Adephage,Gatecrash,121,Near Mint,English,,,,,,,,
1,0,Giant Growth,Return to Ravnica,125,Near Mint,English,foil,,,,,,,
1,0,Gideon Jura,Rise of the Eldrazi,21,Mint,English,,,,,,,,
1,0,Gideon Jura,Magic 2012,16,Near Mint,English,,,,,,,,
2,0,Gilded Lotus,Magic 2013,206,Near Mint,English,,,,,,,,
1,0,"Gisela, Blade of Goldnight",Avacyn Restored,209,Near Mint,English,,,,,,,,
1,0,Glimmervoid,Modern Masters,223,Near Mint,English,,,,,,,,
2,0,Glistening Oil,New Phyrexia,62,Near Mint,English,,,,,,,,
2,0,Go for the Throat,Mirrodin Besieged,43,Near Mint,English,,,,,,,,
4,0,Goblin Charbelcher,Mirrodin,176,Near Mint,English,,,,,,,,
1,0,Goblin War Strike,"",,,,,,,,,,,
1,0,Goblin Welder,Urza's Legacy,80,Near Mint,English,,,,,,,,
1,0,Golem's Heart,WPN/Gateway,60,Near Mint,English,foil,,,,,,,
2,0,Golgari Charm,Return to Ravnica,164,Mint,English,,,,,,,,
1,0,Gorger Wurm,Alara Reborn,56,Near Mint,English,foil,,,,,,,
1,0,Grapeshot,Modern Masters,116,Near Mint,English,,,,,,,,
1,0,Grasp of Darkness,Scars of Mirrodin,65,Near Mint,English,,,,,,,,
1,0,Grasp of Phantoms,Innistrad,58,Near Mint,English,foil,,,,,,,
2,0,Grave Betrayal,Return to Ravnica,67,Near Mint,English,,,,,,,,
1,0,Gravecrawler,Dark Ascension,64,,,,,,,,,,
1,0,Gravitational Shift,Rise of the Eldrazi,69,Near Mint,English,,,,,,,,
1,1,Gravitational Shift,Rise of the Eldrazi,69,Near Mint,Chinese,,,,,,,,0
5,0,Grim Backwoods,Dark Ascension,156,Near Mint,English,,,,,,,,
1,0,Grip of Chaos,Scourge,98,Near Mint,English,,,,,,,,
2,0,Grixis Charm,Duel Decks: Ajani vs. Nicol Bolas,63,Near Mint,English,,,,,,,,
1,0,Ground Seal,Magic 2013,176,Near Mint,English,,,,,,,,
3,0,Grove of the Guardian,Return to Ravnica,240,Near Mint,English,,,,,,,,
1,0,Guardian Seraph,Magic 2010,13,Near Mint,English,,,,,,,,
3,0,Gut Shot,New Phyrexia,86,Near Mint,English,,,,,,,,
1,0,Gutter Grime,Innistrad,186,Near Mint,English,,,,,,,,
1,0,Guttural Response,Shadowmoor,208,Near Mint,Japanese,,,,,,,,
1,0,Guul Draz Assassin,Rise of the Eldrazi,112,Near Mint,English,foil,,,,,,,
3,0,"Haakon, Stromgald Scourge",Coldsnap,61,Near Mint,English,,,,,,,,
4,0,Hallowed Fountain,Return to Ravnica,241,Near Mint,English,,,,,,,,
1,0,Halo Hunter,Zendikar,96,Near Mint,English,,,,,,,,
2,0,Hammer of Bogardan,Premium Deck Series: Fire and Lightning,23,Near Mint,English,foil,,,,,,,
1,0,Hana Kami,Modern Masters,147,Near Mint,English,foil,,,,,,,
1,0,Harmonic Sliver,"",,,,,,,,,,,
2,0,Haunting Echoes,Magic 2011,99,Near Mint,English,,,,,,,,
2,0,Havengul Runebinder,Dark Ascension,39,Near Mint,English,,,,,,,,
1,0,Headless Skaab,Dark Ascension,40,Near Mint,English,foil,,,,,,,
1,0,Heartless Summoning,Innistrad,104,Near Mint,English,foil,,,,,,,
1,0,Heartmender,Shadowmoor,228,Near Mint,Japanese,,,,,,,,
1,0,Hedron Scrabbler,Zendikar,204,Near Mint,English,foil,,,,,,,
1,0,Hedron-Field Purists,Rise of the Eldrazi,25,Near Mint,English,,,,,,,,
1,0,Hellion Eruption,Rise of the Eldrazi,151,Near Mint,English,,,,,,,,
1,0,Hellrider,Duel Decks: Sorin vs. Tibalt,52,Near Mint,English,,,,,,,,
2,0,Hellspark Elemental,Duel Decks: Sorin vs. Tibalt,46,Near Mint,English,,,,,,,,
1,0,Herald of Leshrac,Coldsnap,62,Near Mint,English,,,,,,,,
1,0,Heretic's Punishment,Innistrad,147,Near Mint,English,,,,,,,,
1,0,Heretic's Punishment,Innistrad,147,Near Mint,English,foil,,,,,,,
1,0,Hero of Bladehold,Prerelease Events,47,Near Mint,English,,,,,,,,
1,0,Hero of Iroas,Born of the Gods,17,Near Mint,French,,,,,,,,
1,0,Hex Parasite,New Phyrexia,137,Near Mint,English,,,,,,,,
1,0,Hibernation Sliver,Stronghold,140,Near Mint,English,,,,,,,,
2,0,Hibernation's End,Coldsnap,110,Near Mint,English,,,,,,,,
2,0,Hidden Horror,Premium Deck Series: Graveborn,2,Near Mint,English,foil,,,,,,,
5,1,High Priest of Penance,Gatecrash,171,Near Mint,English,,,,,,,,
1,0,Hillcomber Giant,Modern Masters,18,Near Mint,English,foil,,,,,,,
1,0,Hinder,Champions of Kamigawa,65,Near Mint,English,,,,,,,,
4,0,Hinterland Harbor,Innistrad,241,Near Mint,English,,,,,,,,
1,0,Hive Mind,Magic 2010,54,Near Mint,English,,,,,,,,
1,0,Hoard-Smelter Dragon,Scars of Mirrodin,93,Near Mint,English,,,,,,,,
1,0,Hoarding Dragon,Magic 2011,144,Near Mint,English,,,,,,,,
1,0,Hollowsage,Shadowmoor,69,Near Mint,English,foil,,,,,,,
1,0,Homeward Path,Commander,277,Near Mint,English,,,,,,,,
4,0,Honor of the Pure,Magic 2010,16,Good (Lightly Played),English,,,,,,,,0
2,1,Honor of the Pure,Magic 2012,23,Near Mint,English,,,,,,,,
1,0,Horobi's Whisper,Modern Masters,88,Near Mint,English,foil,,,,,,,
1,0,Hound of Griselbrand,Avacyn Restored,141,Near Mint,English,,,,,,,,
2,0,Hovermyr,New Phyrexia,138,Near Mint,English,foil,,,,,,,
1,0,Huntmaster of the Fells,Dark Ascension,140,Near Mint,English,,,,,,,,
2,0,Hurkyl's Recall,Tenth Edition,88,Near Mint,English,,,,,,,,
1,0,Hurkyl's Recall,Tenth Edition,88,,,,,,,,,,
2,0,Hypersonic Dragon,Return to Ravnica,170,Near Mint,English,,,,,,,,
1,0,Ikiral Outrider,Rise of the Eldrazi,27,Near Mint,English,foil,,,,,,,
3,0,Imposing Sovereign,Magic 2014 Core Set,22,Near Mint,English,,,,,,,,
1,0,Increasing Confusion,Dark Ascension,41,Near Mint,English,,,,,,,,
4,0,Increasing Devotion,Dark Ascension,11,Near Mint,English,,,,,,,,
3,0,Increasing Vengeance,Dark Ascension,95,Near Mint,English,,,,,,,,
1,0,Infantry Veteran,Magic 2011,18,Near Mint,English,foil,,,,,,,
1,0,Inferno Titan,Magic 2011,146,Near Mint,English,,,,,,,,
2,0,Inkmoth Nexus,Mirrodin Besieged,145,Near Mint,English,,,,,,,,
1,0,Inkwell Leviathan,Premium Deck Series: Graveborn,10,Near Mint,English,foil,,,,,,,
1,0,Inkwell Leviathan,Conflux,30,Near Mint,English,,,,,,,,0
4,4,Inkwell Leviathan,Conflux,30,Near Mint,Chinese,,,,,,,,0
1,0,Inquisition of Kozilek,Rise of the Eldrazi,115,Near Mint,English,,,,,,,,
2,0,Instigator Gang,Innistrad,149,Near Mint,English,,,,,,,,
1,0,Insurrection,Onslaught,213,Near Mint,English,,,,,,,,
5,1,Invader Parasite,New Phyrexia,87,Near Mint,English,,,,,,,,
4,0,Invisible Stalker,Innistrad,60,Near Mint,English,,,,,,,,
1,0,Invoke the Firemind,Guildpact,118,Near Mint,English,,,,,,,,
1,1,"Iona, Shield of Emeria",Zendikar,13,Near Mint,Chinese,,,,,,,,0
4,0,Jace Beleren,Lorwyn,71,Near Mint,English,,,,,,,,
1,0,Jace Beleren,Magic 2010,58,Near Mint,English,,,,,,,,
1,0,"Jace, Architect of Thought",Return to Ravnica,44,Near Mint,English,,,,,,,,
2,0,"Jace, Memory Adept",Magic 2014 Core Set,60,Near Mint,English,,,,,,,,
1,0,"Jace, the Mind Sculptor",From the Vault: Twenty,18,Near Mint,English,foil,,,,,promo,,
2,0,Jackal Pup,Premium Deck Series: Fire and Lightning,2,Near Mint,English,foil,,,,,,,
1,0,Jagwasp Swarm,Worldwake,58,Near Mint,English,foil,,,,,,,
1,0,Jar of Eyeballs,Dark Ascension,152,Near Mint,English,,,,,,,,
2,0,"Jaya Ballard, Task Mage",Premium Deck Series: Fire and Lightning,10,Near Mint,English,foil,,,,,,,
1,0,Jeskai Ascendancy,Khans of Tarkir,180,Near Mint,English,,,,,,,,
1,0,Jester's Scepter,Coldsnap,137,Near Mint,English,,,,,,,,
1,0,"Jin-Gitaxias, Core Augur",New Phyrexia,37,Near Mint,English,,,,,,,,
1,0,Jokulmorder,Coldsnap,37,Near Mint,English,,,,,,,,
3,0,"Jor Kadeen, the Prevailer",New Phyrexia,128,Near Mint,English,,,,,,,,
2,0,Joraga Treespeaker,Rise of the Eldrazi,190,Near Mint,English,,,,,,,,
2,0,Joraga Warcaller,Worldwake,106,Near Mint,English,,,,,,,,
1,0,Journeyer's Kite,Champions of Kamigawa,257,Near Mint,English,,,,,,,,
3,0,Jungle Shrine,Duel Decks: Ajani vs. Nicol Bolas,34,Near Mint,English,,,,,,,,
1,0,Juvenile Gloomwidow,Shadowmoor,121,Near Mint,English,foil,,,,,,,
1,0,Jwari Scuttler,Rise of the Eldrazi,73,Near Mint,English,,,,,,,,
1,0,Jwari Shapeshifter,Worldwake,32,Near Mint,English,foil,,,,,,,
2,0,Jwari Shapeshifter,Worldwake,32,Near Mint,English,,,,,,,,
1,1,Kaalia of the Vast,Commander,206,Near Mint,English,,,,,,,,0
1,0,"Kalitas, Bloodchief of Ghet",Zendikar,99,Near Mint,English,,,,,,,,
4,0,Karmic Justice,Odyssey,26,Near Mint,English,,,,,,,,
5,0,Kazandu Tuskcaller,Rise of the Eldrazi,191,Near Mint,English,,,,,,,,
3,0,Kazuul Warlord,Zendikar,134,Near Mint,English,,,,,,,,
2,0,Keldon Champion,Premium Deck Series: Fire and Lightning,14,Near Mint,English,foil,,,,,,,
3,0,Keldon Marauders,Premium Deck Series: Fire and Lightning,7,Near Mint,English,foil,,,,,,,
1,0,Kessig Wolf,Innistrad,151,Near Mint,English,foil,,,,,,,
2,0,Kessig Wolf Run,Innistrad,243,Near Mint,English,,,,,,,,
1,0,"Kiki-Jiki, Mirror Breaker",From the Vault: Legends,4,Near Mint,English,foil,,,,,,,
1,0,"Kiki-Jiki, Mirror Breaker",Modern Masters,120,Near Mint,English,,,,,,,,
1,0,"Kiki-Jiki, Mirror Breaker",Modern Masters,120,Near Mint,English,foil,,,,,,,
1,0,Kiln Walker,New Phyrexia,142,Near Mint,English,foil,,,,,,,
1,0,Kinsbaile Cavalier,Morningtide,15,Near Mint,English,,,,,,,,
3,1,Kitchen Finks,Modern Masters,190,Near Mint,English,,,,,,,,
2,0,Kitchen Finks,Shadowmoor,229,Near Mint,Japanese,,,,,,,,0
1,0,Kitesail,Magic 2013,208,Near Mint,English,foil,,,,,,,
2,0,Knight Exemplar,Magic 2011,20,Near Mint,English,,,,,,,,
1,0,Knight of the Reliquary,Modern Masters,178,Near Mint,English,,,,,,,,
1,0,Knollspine Dragon,Shadowmoor,98,Near Mint,English,,,,,,,,
1,0,Knowledge Exploitation,Morningtide,38,Near Mint,English,,,,,,,,
3,0,Knowledge Pool,Mirrodin Besieged,111,Near Mint,English,,,,,,,,
1,0,Kodama's Reach,Modern Masters,151,Near Mint,English,,,,,,,,
4,0,Kor Spiritdancer,Rise of the Eldrazi,31,Near Mint,English,,,,,,,,
2,0,Koth of the Hammer,Duel Decks: Venser vs. Koth,44,Near Mint,English,,,,,,,,
1,0,Koth of the Hammer,Scars of Mirrodin,94,Near Mint,English,,,,,,,,
1,0,Krenko's Command,Magic 2013,139,Near Mint,English,,,,,,,,
1,0,"Krenko, Mob Boss",Magic 2013,138,Near Mint,English,,,,,,,,
1,0,Kresh the Bloodbraided,From the Vault: Legends,5,Near Mint,English,foil,,,,,,,
1,0,Krosan Grip,Modern Masters,152,Near Mint,English,,,,,,,,
3,0,Kruin Outlaw,Innistrad,152,Near Mint,English,,,,,,,,
3,0,Kulrath Knight,Shadowmoor,190,Near Mint,Japanese,,,,,,,,
1,0,Lambholt Elder,Dark Ascension,122,Near Mint,English,foil,,,,,,,
4,0,Land Grant,"",,,,,,,,,,,
5,1,Lashwrithe,New Phyrexia,143,Near Mint,English,,,,,,,,
2,0,Last Rites,Premium Deck Series: Graveborn,21,Near Mint,English,foil,,,,,,,
2,0,Lava Spike,Modern Masters,121,Near Mint,English,,,,,,,,
1,0,Lavaball Trap,Zendikar,135,Near Mint,English,,,,,,,,
1,0,Lavaborn Muse,Duel Decks: Sorin vs. Tibalt,50,Near Mint,English,,,,,,,,
1,0,Leaden Myr,Scars of Mirrodin,170,Near Mint,English,foil,,,,,,,
1,0,Legion Loyalist,Gatecrash,97,Near Mint,English,,,,,,,,
4,4,Leyline of Anticipation,Magic 2011,61,Near Mint,Chinese,,,,,,,,0
2,0,Leyline of Anticipation,Magic 2011,61,Near Mint,English,,,,,,,,
1,0,Lifebane Zombie,Magic 2014 Core Set,101,Near Mint,English,,,,,,,,
2,0,Lightmine Field,Rise of the Eldrazi,32,Near Mint,English,,,,,,,,
1,0,Lightning Berserker,Dragons of Tarkir,146,Near Mint,English,,,,,,,,
6,0,Lightning Bolt,Magic 2010,146,Near Mint,English,,,,,,,,
3,0,Lightning Bolt,Magic 2011,149,Near Mint,English,,,,,,,,
1,0,Lightning Greaves,Commander,253,Near Mint,English,,,,,,,,
2,0,Lightning Greaves,Mirrodin,199,Near Mint,Japanese,,,,,,,,
1,0,Lightning Helix,Modern Masters,179,Near Mint,English,,,,,,,,
1,0,Lightning Serpent,Coldsnap,88,Near Mint,English,,,,,,,,
1,0,Liliana of the Dark Realms,Magic 2013,97,Near Mint,Chinese,,,,,,,,
1,0,Liliana of the Dark Realms,Magic 2014 Core Set,102,Near Mint,English,,,,,,,,
3,0,Liliana of the Veil,Innistrad,105,,,,,,,,,,
1,0,Liliana Vess,Duel Decks: Garruk vs. Liliana,32,Near Mint,English,foil,,,,,,,
1,0,Liliana Vess,Magic 2010,102,Near Mint,English,,,,,,,,0
1,0,Liliana's Reaver,Magic 2014 Core Set,103,Near Mint,English,,,,,,,,
1,0,"Linessa, Zephyr Mage",Future Sight,51,Near Mint,Chinese,,,,,,,,
1,0,Lingering Souls,Duel Decks: Sorin vs. Tibalt,24,Near Mint,English,,,,,,,,
1,0,"Linvala, Keeper of Silence",Rise of the Eldrazi,33,Near Mint,English,,,,,,,,
1,0,Lion's Eye Diamond,Mirage,272,Near Mint,English,,,,,,,,
1,0,Lion's Eye Diamond,Mirage,272,Played,English,,,,,,,,
4,0,Livewire Lash,Scars of Mirrodin,172,Near Mint,English,,,,,,,,
3,0,Living End,Time Spiral,115,Near Mint,English,,,,,,,,
1,0,Loaming Shaman,Dissension,87,Near Mint,English,,,,,,,,
1,0,Logic Knot,Modern Masters,51,Near Mint,English,foil,,,,,,,
2,0,Lord of Shatterskull Pass,Rise of the Eldrazi,156,Near Mint,English,,,,,,,,
1,1,"Lorthos, the Tidemaker",Zendikar,53,Near Mint,Chinese,,,,,,,,
1,0,Lost in the Woods,Dark Ascension,123,Near Mint,English,,,,,,,,
4,0,Lotleth Troll,Return to Ravnica,177,Near Mint,English,,,,,,,,
1,0,Lotus Bloom,Modern Masters,208,Near Mint,English,,,,,,,,
2,2,Lotus Cobra,Zendikar,168,Near Mint,Chinese,,,,,,,,0
4,0,Lotus Petal,Tempest,284,Near Mint,English,,,,,,,,
1,0,Lovisa Coldeyes,Coldsnap,90,Near Mint,English,,,,,,,,
2,0,Loxodon Hierarch,Duel Decks: Ajani vs. Nicol Bolas,15,Near Mint,English,,,,,,,,
1,0,Loxodon Partisan,Mirrodin Besieged,12,Near Mint,English,foil,,,,,,,
1,0,Loyal Sentry,Duel Decks: Elspeth vs. Tezzeret,5,Near Mint,English,,,,,,,,
3,0,Lullmage Mentor,Zendikar,54,Good (Lightly Played),English,,,,,,,,
1,0,Lumberknot,Innistrad,191,Near Mint,English,foil,,,,,,,
1,0,Lunar Mystic,Avacyn Restored,65,Near Mint,English,,,,,,,,
1,0,Maelstrom Pulse,Modern Masters,180,Near Mint,English,,,,,,,,
1,0,Magister Sphinx,Conflux,116,Near Mint,English,,,,,,,,
1,0,Magma Spray,Shards of Alara,108,Near Mint,English,foil,,,,,,,
1,0,Magmaquake,Magic 2013,140,Near Mint,English,,,,,,,,
2,0,Magnetic Mine,Mirrodin Besieged,113,Near Mint,English,,,,,,,,
1,0,Magus of the Future,Future Sight,40,Good (Lightly Played),English,,,,,,,,
1,0,Make a Wish,Innistrad,192,Near Mint,English,foil,,,,,,,
1,0,Malfegor,Conflux,117,Near Mint,English,,,,,,,,
1,0,Mana Echoes,Onslaught,218,Near Mint,English,,,,,,,,
1,0,Mana Leak,Magic 2011,62,Near Mint,Chinese,,,,,,,,
2,0,Manabarbs,Magic 2012,150,Near Mint,Chinese,,,,,,,,
2,0,Manamorphose,Shadowmoor,211,Near Mint,Japanese,,,,,,,,
1,0,Mantis Rider,Khans of Tarkir,184,Near Mint,English,,,,,,,,
1,0,Marble Chalice,Shards of Alara,18,Near Mint,English,foil,,,,,,,
1,0,March of the Machines,Archenemy,6,Near Mint,English,,,,,,,,
3,0,Marsh Flats,Zendikar,219,Near Mint,English,,,,,,,,
2,0,Master of Cruelties,Dragon's Maze,82,Near Mint,English,,,,,,,,
1,0,Master of Etherium,Duel Decks: Elspeth vs. Tezzeret,48,Near Mint,English,,,,,,,,
1,0,Master of Etherium,Planechase,11,Near Mint,English,,,,,,,,
2,0,Master of Etherium,Shards of Alara,49,Near Mint,English,,,,,,,,
1,0,Mayor of Avabruck,Prerelease Events,51,Near Mint,English,foil,,,,,,,
1,0,"Melira, Sylvok Outcast",New Phyrexia,115,Near Mint,English,,,,,,,,
4,0,Memory Sluice,Shadowmoor,170,Near Mint,English,,,,,,,,
1,1,Mentor of the Meek,Commander 2014,79,Near Mint,English,,,,,,,,0
4,0,Mentor of the Meek,Innistrad,21,Near Mint,English,,,,,,,,0
2,0,Merfolk Sovereign,Magic 2011,65,Near Mint,English,,,,,,,,
1,1,Merfolk Sovereign,Magic 2011,65,Near Mint,Chinese,,,,,,,,
1,0,Mesa Enchantress,Magic 2012,25,Near Mint,English,,,,,,,,
1,0,Mesmeric Fiend,Duel Decks: Sorin vs. Tibalt,7,Near Mint,English,,,,,,,,
2,0,Mighty Leap,Magic 2012,26,Near Mint,English,foil,,,,,,,
1,0,"Mikaeus, the Lunarch",From the Vault: Legends,6,Near Mint,English,foil,,,,,,,
1,0,Mimic Vat,Scars of Mirrodin,175,Near Mint,English,,,,,,,,
1,0,Miming Slime,Gatecrash,126,Near Mint,English,foil,,,,,,,
1,0,"Minamo, School at Water's Edge",Champions of Kamigawa,279,Near Mint,English,,,,,,,,
1,0,Mind Bend,Tenth Edition,93,Near Mint,English,,,,,,,,
1,0,Mind Control,Magic 2012,67,Near Mint,English,foil,,,,,,,
1,0,Mind Funeral,Modern Masters,181,Near Mint,English,,,,,,,,
3,0,Mind Funeral,Alara Reborn,26,Near Mint,English,,,,,,,,
1,0,Mind Shatter,Magic 2010,106,Near Mint,English,,,,,,,,
1,0,Mindbreak Trap,Zendikar,57,Near Mint,English,,,,,,,,
1,0,Mindbreak Trap,Zendikar,57,Near Mint,Chinese,,,,,,,,
1,0,Mindshrieker,Innistrad,67,Near Mint,English,,,,,,,,
2,0,Mindslaver,Scars of Mirrodin,176,Near Mint,English,,,,,,,,
4,0,Misty Rainforest,Zendikar,220,Near Mint,English,,,,,,,,
1,0,Mitotic Manipulation,Mirrodin Besieged,27,Near Mint,English,,,,,,,,
1,0,Mitotic Slime,Magic 2011,185,Near Mint,English,,,,,,,,
1,0,Mogg Fanatic,Premium Deck Series: Fire and Lightning,3,Near Mint,English,foil,,,,,,,
3,0,Mogg Flunkies,Premium Deck Series: Fire and Lightning,8,Near Mint,English,foil,,,,,,,
1,0,Mogg Flunkies,Magic 2013,143,Near Mint,English,foil,,,,,,,
1,0,Mogg War Marshal,Modern Masters,122,Near Mint,English,foil,,,,,,,
1,0,Moment of Heroism,Innistrad,24,Near Mint,English,,,,,,,,
2,0,Momentous Fall,Rise of the Eldrazi,197,Near Mint,English,,,,,,,,
1,0,Mondronen Shaman,Launch Parties,17,Near Mint,English,,,,,,,,
1,0,Moonsilver Spear,Prerelease Events,53,Mint,English,foil,,,,,,,
1,0,Moonsilver Spear,Avacyn Restored,217,Near Mint,English,,,,,,,,
1,0,Moonsilver Spear,Avacyn Restored,217,Near Mint,English,foil,,,,,,,
1,0,Mortician Beetle,Rise of the Eldrazi,117,Near Mint,English,,,,,,,,
1,0,Mortify,Conspiracy,190,Near Mint,English,,,,,,,,
1,0,Mortify,Conspiracy,190,Near Mint,English,foil,,,,,,,
2,2,Mother of Runes,Duel Decks: Elspeth vs. Kiora,20,Near Mint,English,,,,,,,,0
1,0,Mother of Runes,Commander,21,Near Mint,English,,,,,,,,0
3,0,Mul Daya Channelers,Rise of the Eldrazi,198,Near Mint,English,,,,,,,,
1,0,Mulldrifter,Modern Masters,54,Near Mint,English,,,,,,,,
4,0,Mulldrifter,Lorwyn,76,Near Mint,English,,,,,,,,
1,0,Murderous Redcap,Shadowmoor,192,Near Mint,English,,,,,,,,
1,0,Mutilate,Duel Decks: Garruk vs. Liliana,55,Near Mint,English,,,,,,,,
1,0,Mwonvuli Beast Tracker,Magic 2013,177,Near Mint,English,,,,,,,,
2,2,Mycoloth,Shards of Alara,140,Near Mint,Chinese,,,,,,,,
2,0,Myr Battlesphere,Scars of Mirrodin,180,Near Mint,English,,,,,,,,
8,4,Myr Reservoir,Scars of Mirrodin,183,Near Mint,English,,,,,,,,
1,0,Myr Superion,New Phyrexia,146,Near Mint,English,,,,,,,,
5,0,Myr Turbine,Mirrodin Besieged,117,Near Mint,English,,,,,,,,
1,0,Mystifying Maze,Magic 2011,226,Near Mint,English,foil,,,,,,,
1,0,Mystifying Maze,Magic 2011,226,Near Mint,English,,,,,,,,
1,0,Nantuko Shade,Magic 2011,106,Near Mint,English,,,,,,,,
1,0,Nantuko Shaman,Modern Masters,156,Near Mint,English,foil,,,,,,,
1,0,Narcomoeba,Modern Masters,55,Near Mint,English,,,,,,,,
1,0,"Narset, Enlightened Master",Khans of Tarkir,190,Near Mint,English,,,,,,,,
1,0,Natural End,Avacyn Restored,185,Near Mint,English,foil,,,,,,,
1,0,Natural Order,Visions,64,Played,English,,,,,,,,
1,1,Near-Death Experience,Rise of the Eldrazi,38,Near Mint,Chinese,,,,,,,,0
1,0,Necromancer's Covenant,Alara Reborn,82,Near Mint,English,,,,,,,,0
1,1,Necromancer's Covenant,Alara Reborn,82,Near Mint,Chinese,,,,,,,,0
1,0,Necromaster Dragon,Dragons of Tarkir,226,Near Mint,English,,,,,,,,
1,0,Necropolis Regent,Return to Ravnica,71,Near Mint,English,,,,,,,,
1,0,Necrotic Ooze,Scars of Mirrodin,72,Near Mint,English,,,,,,,,
2,0,Necrotic Plague,Magic 2011,107,Near Mint,English,,,,,,,,
1,0,Nemesis of Mortals,Theros,163,Near Mint,English,foil,,,,,,,
4,0,Nephalia Drownyard,Innistrad,245,Near Mint,English,,,,,,,,
1,0,Nettlevine Blight,Lorwyn,131,Near Mint,English,,,,,,,,
1,0,Niblis of the Urn,Dark Ascension,16,Near Mint,English,foil,,,,,,,
2,0,"Nicol Bolas, Planeswalker",Duel Decks: Ajani vs. Nicol Bolas,42,Near Mint,English,,,,,,,,
1,0,Nighthowler,Theros,98,Near Mint,English,,,,,,,,
1,0,Nightwing Shade,Magic 2011,109,Near Mint,English,foil,,,,,,,
1,0,"Nin, the Pain Artist",Commander,213,Near Mint,English,,,,,,,,
1,0,Nissa Revane,Media Inserts,27,Near Mint,English,,,,,,,,
1,0,"Niv-Mizzet, the Firemind",Guildpact,123,Near Mint,English,,,,,,,,
1,0,Noble Vestige,Zendikar,29,Near Mint,English,foil,,,,,,,
3,0,Norn's Annex,New Phyrexia,17,Near Mint,English,,,,,,,,
6,2,Notion Thief,Dragon's Maze,88,Near Mint,English,,,,,,,,
1,0,"Numot, the Devastator",Planar Chaos,160,Near Mint,English,,,,,,,,
1,0,"Nykthos, Shrine to Nyx",Theros,223,Near Mint,English,,,,,,,,
2,0,Oblivion Ring,Shards of Alara,20,Near Mint,English,,,,,,,,0
1,0,Oblivion Ring,Magic 2012,27,Near Mint,English,,,,,,,,0
1,1,Oblivion Ring,Magic 2012,27,Near Mint,Chinese,,,,,,,,
4,0,Obsidian Fireheart,Zendikar,140,Near Mint,English,,,,,,,,
3,0,Obstinate Baloth,Magic 2011,188,Near Mint,English,,,,,,,,
1,0,"Odric, Master Tactician",Magic 2013,23,Near Mint,English,,,,,,,,
1,0,Ohran Viper,Coldsnap,115,Near Mint,English,,,,,,,,
1,0,Ojutai's Command,Media Inserts,101,Near Mint,English,foil,,,,,,,
2,0,Omen Machine,New Phyrexia,148,Near Mint,English,,,,,,,,
1,0,Omniscience,Magic 2013,63,Near Mint,English,,,,,,,,
1,0,"Oona, Queen of the Fae",From the Vault: Legends,8,Near Mint,English,foil,,,,,,,
1,0,Ooze Garden,Shards of Alara,143,Near Mint,English,,,,,,,,
2,0,Ornithopter,Magic 2011,211,Near Mint,Chinese,,,,,,,,
1,0,"Oros, the Avenger",Planar Chaos,161,Near Mint,English,,,,,,,,
2,0,Overgrown Tomb,Return to Ravnica,243,Near Mint,English,,,,,,,,
2,0,Oversoul of Dusk,Shadowmoor,234,Near Mint,Japanese,,,,,,,,
3,0,Pack Rat,Return to Ravnica,73,Near Mint,English,,,,,,,,
1,0,Painter's Servant,Shadowmoor,257,Near Mint,Japanese,,,,,,,,
1,0,Palisade Giant,Return to Ravnica,15,Near Mint,English,,,,,,,,
1,0,Palladia-Mors,Chronicles,117,Near Mint,English,,,,,,,,
2,0,Part the Waterveil,Battle for Zendikar,80,Near Mint,English,,,,,,,,
1,0,Path to Exile,Duel Decks: Venser vs. Koth,23,Near Mint,English,,,,,,,,
